"","hgnc_symbol"
"645","NME7"
"646","PNP"
"647","AK5"
"648","GUK1"
"649","PPAT"
"650","AKR1B1"
"651","ENPP1"
"652","IMPDH1"
"653","ENTPD6"
"654","NNT"
"655","GLB1"
"656","GALT"
"657","GMPR"
"658","CANT1"
"659","GLA"
"660","ENTPD4"
"661","NTPCR"
"662","AMPD3"
"663","GALK1"
"664","NME6"
"665","GMPR2"
"666","GALE"
"667","GALM"
"668","ENPP3"
"669","ATIC"
"670","PRPS1"
"671","PRPS1L1"
"672","GMPS"
"673","AK7"
"674","ENTPD2"
"675","NMNAT1"
"676","AMPD1"
"677","GDA"
"678","GART"
"679","UGP2"
"680","ITPA"
"681","APRT"
"682","LCT"
"683","PGM2"
"684","PRPS2"
"685","PAICS"
"686","NME1"
"687","NME2"
"688","XDH"
"689","NME3"
"690","PFAS"
"691","AK8"
"692","B4GALT1"
"693","LALBA"
"694","AK1"
"695","ENTPD5"
"696","VWF"
"697","C4B"
"698","C2"
"699","MASP2"
"700","F9"
"701","KLKB1"
"702","SERPINC1"
"703","F2"
"704","ACE"
"705","CFD"
"706","CRP"
"707","F8"
"708","C7"
"709","C3"
"710","F11"
"711","SERPINE1"
"712","MASP1"
"713","F12"
"714","KNG1"
"715","FGA"
"716","FGB"
"717","FGG"
"718","CXCL8"
"719","C5"
"720","RPS3AP29"
"721","PLAU"
"722","MAS1"
"723","ITGA2"
"724","ITGB1"
"725","AGTR1"
"726","GP6"
"727","F13"
"728","IL6"
"729","SERPINH1"
"730","C8A"
"731","C8B"
"732","C8G"
"733","F10"
"734","CFB"
"735","C6"
"736","IL2RA"
"737","THBD"
"738","KNG1"
"739","6383"
"740","C4A"
"741","PROC"
"742","F5"
"743","C9"
"744","F3"
"745","C4b"
"746","NR3C2"
"747","AGT"
"748","REN"
"749","ASIC1"
"750","CRB3"
"751","STOML3"
"752","PATJ"
"753","BRD4"
"754","H4C1"
"755","H3C15"
"756","H3C1"
"757","H4C14"
"758","H4-16"
"759","H4C9"
"760","H2BC21"
"761","CDK9"
"762","BRD2"
"763","TBP"
"764","CCNT1"
"765","AGTR2"
"766","PREP"
"767","THOP1"
"768","MME"
"769","KLK1"
"770","MRGPRD"
"771","LNPEP"
"772","CMA1"
"773","CTSD"
"774","CTSG"
"775","PRCP"
"776","ANPEP"
